league,season,team,matches_played,goals_for,goals_against,wins,draws,losses,points,gf_per_game,ga_per_game,gd_per_game,pts_per_game,win_rate,draw_rate,loss_rate,build_up_speed,build_up_passing,chance_creation_passing,chance_creation_crossing,chance_creation_shooting,defense_pressure,defense_aggression,defense_width,cluster
Belgium Jupiler League,2009/2010,KSV Cercle Brugge,28,45,40,11,5,12,38,1.6071428571428572,1.4285714285714286,0.1785714285714285,1.3571428571428572,0.3928571428571428,0.1785714285714285,0.4285714285714285,53.0,43.0,52.0,58.0,42.0,59.0,47.0,62.0,0.0
Belgium Jupiler League,2009/2010,KSV Roeselare,28,29,58,4,6,18,18,1.0357142857142858,2.071428571428572,-1.0357142857142858,0.6428571428571429,0.1428571428571428,0.2142857142857142,0.6428571428571429,65.0,60.0,50.0,35.0,40.0,65.0,70.0,70.0,1.0
Belgium Jupiler League,2009/2010,KV Kortrijk,28,39,30,12,9,7,45,1.3928571428571428,1.0714285714285714,0.3214285714285714,1.6071428571428572,0.4285714285714285,0.3214285714285714,0.25,42.0,47.0,37.0,67.0,30.0,46.0,45.0,52.0,0.0
Belgium Jupiler League,2009/2010,KV Mechelen,28,36,46,12,3,13,39,1.2857142857142858,1.6428571428571428,-0.3571428571428571,1.3928571428571428,0.4285714285714285,0.1071428571428571,0.4642857142857143,52.0,40.0,47.0,53.0,50.0,42.0,51.0,52.0,0.0
Belgium Jupiler League,2009/2010,KVC Westerlo,28,28,34,8,8,12,32,1.0,1.2142857142857142,-0.2142857142857142,1.1428571428571428,0.2857142857142857,0.2857142857142857,0.4285714285714285,52.0,50.0,57.0,55.0,32.0,48.0,45.0,53.0,2.0
Belgium Jupiler League,2009/2010,RSC Anderlecht,28,62,20,22,3,3,69,2.2142857142857144,0.7142857142857143,1.5,2.4642857142857144,0.7857142857142857,0.1071428571428571,0.1071428571428571,52.0,51.0,60.0,53.0,47.0,53.0,50.0,61.0,1.0
Belgium Jupiler League,2009/2010,SV Zulte-Waregem,28,39,32,10,11,7,41,1.3928571428571428,1.1428571428571428,0.25,1.4642857142857142,0.3571428571428571,0.3928571428571428,0.25,54.0,51.0,47.0,52.0,32.0,44.0,58.0,37.0,2.0
Belgium Jupiler League,2009/2010,Sint-Truidense VV,28,35,35,12,6,10,42,1.25,1.25,0.0,1.5,0.4285714285714285,0.2142857142857142,0.3571428571428571,52.0,55.0,52.0,55.0,47.0,32.0,40.0,41.0,2.0
Belgium Jupiler League,2009/2010,Sporting Charleroi,28,28,45,5,8,15,23,1.0,1.6071428571428572,-0.6071428571428571,0.8214285714285714,0.1785714285714285,0.2857142857142857,0.5357142857142857,60.0,53.0,48.0,50.0,48.0,39.0,48.0,49.0,2.0
Belgium Jupiler League,2009/2010,Sporting Lokeren,28,22,54,5,3,20,18,0.7857142857142857,1.9285714285714288,-1.1428571428571428,0.6428571428571429,0.1785714285714285,0.1071428571428571,0.7142857142857143,62.0,52.0,42.0,50.0,62.0,45.0,52.0,52.0,2.0
Belgium Jupiler League,2009/2010,Standard de Liège,28,38,34,10,9,9,39,1.3571428571428572,1.2142857142857142,0.1428571428571428,1.3928571428571428,0.3571428571428571,0.3214285714285714,0.3214285714285714,54.0,62.0,55.0,58.0,60.0,45.0,54.0,52.0,1.0
Belgium Jupiler League,2010/2011,Beerschot AC,30,24,40,5,11,14,26,0.8,1.3333333333333333,-0.5333333333333333,0.8666666666666667,0.1666666666666666,0.3666666666666666,0.4666666666666667,47.0,39.0,38.0,64.0,49.0,45.0,46.0,67.0,0.0
Belgium Jupiler League,2010/2011,Club Brugge KV,30,60,35,16,5,9,53,2.0,1.1666666666666667,0.8333333333333334,1.7666666666666666,0.5333333333333333,0.1666666666666666,0.3,42.0,45.0,42.0,57.0,47.0,51.0,50.0,57.0,0.0
Belgium Jupiler League,2010/2011,KAA Gent,30,59,42,17,6,7,57,1.9666666666666663,1.4,0.5666666666666667,1.9,0.5666666666666667,0.2,0.2333333333333333,50.0,37.0,42.0,66.0,34.0,49.0,54.0,52.0,0.0
Belgium Jupiler League,2010/2011,KAS Eupen,30,28,50,5,8,17,23,0.9333333333333332,1.6666666666666667,-0.7333333333333333,0.7666666666666667,0.1666666666666666,0.2666666666666666,0.5666666666666667,50.0,55.0,50.0,55.0,55.0,50.0,50.0,55.0,1.0
Belgium Jupiler League,2010/2011,KRC Genk,30,64,27,19,7,4,64,2.1333333333333333,0.9,1.2333333333333334,2.1333333333333333,0.6333333333333333,0.2333333333333333,0.1333333333333333,58.0,38.0,30.0,69.0,56.0,36.0,57.0,70.0,0.0
Belgium Jupiler League,2010/2011,KSV Cercle Brugge,30,33,34,11,6,13,39,1.1,1.1333333333333333,-0.0333333333333333,1.3,0.3666666666666666,0.2,0.4333333333333333,53.0,43.0,52.0,58.0,42.0,59.0,47.0,62.0,0.0
Belgium Jupiler League,2010/2011,KV Kortrijk,30,36,39,11,5,14,38,1.2,1.3,-0.1,1.2666666666666666,0.3666666666666666,0.1666666666666666,0.4666666666666667,42.0,47.0,37.0,67.0,30.0,46.0,45.0,52.0,0.0
Belgium Jupiler League,2010/2011,KV Mechelen,30,34,30,13,9,8,48,1.1333333333333333,1.0,0.1333333333333333,1.6,0.4333333333333333,0.3,0.2666666666666666,52.0,40.0,47.0,53.0,50.0,42.0,51.0,52.0,0.0
Belgium Jupiler League,2010/2011,KVC Westerlo,30,41,40,11,8,11,41,1.3666666666666667,1.3333333333333333,0.0333333333333333,1.3666666666666667,0.3666666666666666,0.2666666666666666,0.3666666666666666,52.0,50.0,57.0,55.0,32.0,48.0,45.0,53.0,2.0
Belgium Jupiler League,2010/2011,Lierse SK,30,26,58,4,12,14,24,0.8666666666666667,1.9333333333333331,-1.0666666666666669,0.8,0.1333333333333333,0.4,0.4666666666666667,69.0,58.0,56.0,52.0,61.0,38.0,49.0,65.0,1.0
Belgium Jupiler League,2010/2011,RSC Anderlecht,30,58,20,19,8,3,65,1.9333333333333331,0.6666666666666666,1.2666666666666666,2.1666666666666665,0.6333333333333333,0.2666666666666666,0.1,52.0,51.0,60.0,53.0,47.0,53.0,50.0,61.0,1.0
Belgium Jupiler League,2010/2011,SV Zulte-Waregem,30,39,41,7,12,11,33,1.3,1.3666666666666667,-0.0666666666666666,1.1,0.2333333333333333,0.4,0.3666666666666666,54.0,51.0,47.0,52.0,32.0,44.0,58.0,37.0,2.0
Belgium Jupiler League,2010/2011,Sint-Truidense VV,30,20,51,8,5,17,29,0.6666666666666666,1.7,-1.0333333333333334,0.9666666666666668,0.2666666666666666,0.1666666666666666,0.5666666666666667,52.0,55.0,52.0,55.0,47.0,32.0,40.0,41.0,2.0
Belgium Jupiler League,2010/2011,Sporting Charleroi,30,20,54,4,7,19,19,0.6666666666666666,1.8,-1.1333333333333333,0.6333333333333333,0.1333333333333333,0.2333333333333333,0.6333333333333333,60.0,53.0,48.0,50.0,48.0,39.0,48.0,49.0,2.0
Belgium Jupiler League,2010/2011,Sporting Lokeren,30,43,36,13,11,6,50,1.4333333333333331,1.2,0.2333333333333333,1.6666666666666667,0.4333333333333333,0.3666666666666666,0.2,62.0,52.0,42.0,50.0,62.0,45.0,52.0,52.0,2.0
Belgium Jupiler League,2010/2011,Standard de Liège,30,50,38,15,4,11,49,1.6666666666666667,1.2666666666666666,0.4,1.6333333333333333,0.5,0.1333333333333333,0.3666666666666666,54.0,62.0,55.0,58.0,60.0,45.0,54.0,52.0,1.0
Belgium Jupiler League,2011/2012,Beerschot AC,30,45,51,9,9,12,36,1.5,1.7,-0.2,1.2,0.3,0.3,0.4,47.0,39.0,38.0,64.0,49.0,45.0,46.0,67.0,0.0
Belgium Jupiler League,2011/2012,Club Brugge KV,30,51,32,19,4,7,61,1.7,1.0666666666666669,0.6333333333333333,2.033333333333333,0.6333333333333333,0.1333333333333333,0.2333333333333333,42.0,45.0,42.0,57.0,47.0,51.0,50.0,57.0,0.0
Belgium Jupiler League,2011/2012,KAA Gent,30,63,35,17,5,8,56,2.1,1.1666666666666667,0.9333333333333332,1.8666666666666667,0.5666666666666667,0.1666666666666666,0.2666666666666666,50.0,37.0,42.0,66.0,34.0,49.0,54.0,52.0,0.0
Belgium Jupiler League,2011/2012,KRC Genk,30,60,44,13,7,10,46,2.0,1.4666666666666666,0.5333333333333333,1.5333333333333334,0.4333333333333333,0.2333333333333333,0.3333333333333333,58.0,38.0,30.0,69.0,56.0,36.0,57.0,70.0,0.0
Belgium Jupiler League,2011/2012,KSV Cercle Brugge,30,36,37,13,7,10,46,1.2,1.2333333333333334,-0.0333333333333333,1.5333333333333334,0.4333333333333333,0.2333333333333333,0.3333333333333333,53.0,43.0,52.0,58.0,42.0,59.0,47.0,62.0,0.0
Belgium Jupiler League,2011/2012,KV Kortrijk,30,39,36,13,7,10,46,1.3,1.2,0.1,1.5333333333333334,0.4333333333333333,0.2333333333333333,0.3333333333333333,42.0,47.0,37.0,67.0,30.0,46.0,45.0,52.0,0.0
Belgium Jupiler League,2011/2012,KV Mechelen,30,40,50,10,7,13,37,1.3333333333333333,1.6666666666666667,-0.3333333333333333,1.2333333333333334,0.3333333333333333,0.2333333333333333,0.4333333333333333,52.0,40.0,47.0,53.0,50.0,42.0,51.0,52.0,0.0
Belgium Jupiler League,2011/2012,KVC Westerlo,30,29,59,5,5,20,20,0.9666666666666668,1.9666666666666663,-1.0,0.6666666666666666,0.1666666666666666,0.1666666666666666,0.6666666666666666,52.0,50.0,57.0,55.0,32.0,48.0,45.0,53.0,2.0
Belgium Jupiler League,2011/2012,Lierse SK,30,24,36,6,13,11,31,0.8,1.2,-0.4,1.0333333333333334,0.2,0.4333333333333333,0.3666666666666666,69.0,58.0,56.0,52.0,61.0,38.0,49.0,65.0,1.0
Belgium Jupiler League,2011/2012,Oud-Heverlee Leuven,30,38,58,7,8,15,29,1.2666666666666666,1.9333333333333331,-0.6666666666666666,0.9666666666666668,0.2333333333333333,0.2666666666666666,0.5,52.0,50.0,50.0,53.0,54.0,43.0,44.0,50.0,2.0
Belgium Jupiler League,2011/2012,RAEC Mons,30,50,55,9,9,12,36,1.6666666666666667,1.8333333333333333,-0.1666666666666666,1.2,0.3,0.3,0.4,55.0,55.0,55.0,67.0,46.0,46.0,45.0,47.0,1.0
Belgium Jupiler League,2011/2012,RSC Anderlecht,30,61,26,20,7,3,67,2.033333333333333,0.8666666666666667,1.1666666666666667,2.2333333333333334,0.6666666666666666,0.2333333333333333,0.1,52.0,51.0,60.0,53.0,47.0,53.0,50.0,61.0,1.0
Belgium Jupiler League,2011/2012,SV Zulte-Waregem,30,32,38,6,12,12,30,1.0666666666666669,1.2666666666666666,-0.2,1.0,0.2,0.4,0.4,54.0,51.0,47.0,52.0,32.0,44.0,58.0,37.0,2.0
Belgium Jupiler League,2011/2012,Sint-Truidense VV,30,32,61,3,10,17,19,1.0666666666666669,2.033333333333333,-0.9666666666666668,0.6333333333333333,0.1,0.3333333333333333,0.5666666666666667,52.0,55.0,52.0,55.0,47.0,32.0,40.0,41.0,2.0
Belgium Jupiler League,2011/2012,Sporting Lokeren,30,48,40,11,11,8,44,1.6,1.3333333333333333,0.2666666666666666,1.4666666666666666,0.3666666666666666,0.3666666666666666,0.2666666666666666,62.0,52.0,42.0,50.0,62.0,45.0,52.0,52.0,2.0
Belgium Jupiler League,2011/2012,Standard de Liège,30,43,33,14,9,7,51,1.4333333333333331,1.1,0.3333333333333333,1.7,0.4666666666666667,0.3,0.2333333333333333,54.0,62.0,55.0,58.0,60.0,45.0,54.0,52.0,1.0
Belgium Jupiler League,2012/2013,Beerschot AC,30,31,61,6,5,19,23,1.0333333333333334,2.033333333333333,-1.0,0.7666666666666667,0.2,0.1666666666666666,0.6333333333333333,47.0,39.0,38.0,64.0,49.0,45.0,46.0,67.0,0.0
Belgium Jupiler League,2012/2013,Club Brugge KV,30,66,43,15,9,6,54,2.2,1.4333333333333331,0.7666666666666667,1.8,0.5,0.3,0.2,42.0,45.0,42.0,57.0,47.0,51.0,50.0,57.0,0.0
Belgium Jupiler League,2012/2013,KAA Gent,30,33,40,8,10,12,34,1.1,1.3333333333333333,-0.2333333333333333,1.1333333333333333,0.2666666666666666,0.3333333333333333,0.4,50.0,37.0,42.0,66.0,34.0,49.0,54.0,52.0,0.0
Belgium Jupiler League,2012/2013,KRC Genk,30,63,40,15,10,5,55,2.1,1.3333333333333333,0.7666666666666667,1.8333333333333333,0.5,0.3333333333333333,0.1666666666666666,58.0,38.0,30.0,69.0,56.0,36.0,57.0,70.0,0.0
Belgium Jupiler League,2012/2013,KSV Cercle Brugge,30,30,65,3,5,22,14,1.0,2.1666666666666665,-1.1666666666666667,0.4666666666666667,0.1,0.1666666666666666,0.7333333333333333,53.0,43.0,52.0,58.0,42.0,59.0,47.0,62.0,0.0
Belgium Jupiler League,2012/2013,KV Kortrijk,30,31,30,11,6,13,39,1.0333333333333334,1.0,0.0333333333333333,1.3,0.3666666666666666,0.2,0.4333333333333333,42.0,47.0,37.0,67.0,30.0,46.0,45.0,52.0,0.0
Belgium Jupiler League,2012/2013,KV Mechelen,30,44,42,12,5,13,41,1.4666666666666666,1.4,0.0666666666666666,1.3666666666666667,0.4,0.1666666666666666,0.4333333333333333,52.0,40.0,47.0,53.0,50.0,42.0,51.0,52.0,0.0
Belgium Jupiler League,2012/2013,Lierse SK,30,28,53,5,11,14,26,0.9333333333333332,1.7666666666666666,-0.8333333333333334,0.8666666666666667,0.1666666666666666,0.3666666666666666,0.4666666666666667,69.0,58.0,56.0,52.0,61.0,38.0,49.0,65.0,1.0
Belgium Jupiler League,2012/2013,Oud-Heverlee Leuven,30,46,51,8,12,10,36,1.5333333333333334,1.7,-0.1666666666666666,1.2,0.2666666666666666,0.4,0.3333333333333333,52.0,50.0,50.0,53.0,54.0,43.0,44.0,50.0,2.0
Belgium Jupiler League,2012/2013,RAEC Mons,30,48,53,13,5,12,44,1.6,1.7666666666666666,-0.1666666666666666,1.4666666666666666,0.4333333333333333,0.1666666666666666,0.4,55.0,55.0,55.0,67.0,46.0,46.0,45.0,47.0,1.0
Belgium Jupiler League,2012/2013,RSC Anderlecht,30,69,27,20,7,3,67,2.3,0.9,1.4,2.2333333333333334,0.6666666666666666,0.2333333333333333,0.1,52.0,51.0,60.0,53.0,47.0,53.0,50.0,61.0,1.0
Belgium Jupiler League,2012/2013,SV Zulte-Waregem,30,49,29,19,6,5,63,1.6333333333333333,0.9666666666666668,0.6666666666666666,2.1,0.6333333333333333,0.2,0.1666666666666666,54.0,51.0,47.0,52.0,32.0,44.0,58.0,37.0,2.0
Belgium Jupiler League,2012/2013,Sporting Charleroi,30,30,49,10,4,16,34,1.0,1.6333333333333333,-0.6333333333333333,1.1333333333333333,0.3333333333333333,0.1333333333333333,0.5333333333333333,60.0,53.0,48.0,50.0,48.0,39.0,48.0,49.0,2.0
Belgium Jupiler League,2012/2013,Sporting Lokeren,30,53,38,14,9,7,51,1.7666666666666666,1.2666666666666666,0.5,1.7,0.4666666666666667,0.3,0.2333333333333333,62.0,52.0,42.0,50.0,62.0,45.0,52.0,52.0,2.0
Belgium Jupiler League,2012/2013,Standard de Liège,30,54,33,15,5,10,50,1.8,1.1,0.7,1.6666666666666667,0.5,0.1666666666666666,0.3333333333333333,54.0,62.0,55.0,58.0,60.0,45.0,54.0,52.0,1.0
Belgium Jupiler League,2012/2013,Waasland-Beveren,30,28,49,7,9,14,30,0.9333333333333332,1.6333333333333333,-0.7,1.0,0.2333333333333333,0.3,0.4666666666666667,38.0,49.0,45.0,42.0,53.0,27.0,32.0,35.0,2.0
Belgium Jupiler League,2013/2014,KAA Gent,6,11,6,3,1,2,10,1.8333333333333333,1.0,0.8333333333333334,1.6666666666666667,0.5,0.1666666666666666,0.3333333333333333,50.0,37.0,42.0,66.0,34.0,49.0,54.0,52.0,0.0
Belgium Jupiler League,2013/2014,KV Oostende,6,7,1,4,2,0,14,1.1666666666666667,0.1666666666666666,1.0,2.333333333333333,0.6666666666666666,0.3333333333333333,0.0,52.0,54.0,45.0,42.0,53.0,42.0,47.0,44.0,2.0
Belgium Jupiler League,2013/2014,Lierse SK,6,5,12,2,0,4,6,0.8333333333333334,2.0,-1.1666666666666667,1.0,0.3333333333333333,0.0,0.6666666666666666,69.0,58.0,56.0,52.0,61.0,38.0,49.0,65.0,1.0
Belgium Jupiler League,2013/2014,Waasland-Beveren,6,7,11,1,1,4,4,1.1666666666666667,1.8333333333333333,-0.6666666666666666,0.6666666666666666,0.1666666666666666,0.1666666666666666,0.6666666666666666,38.0,49.0,45.0,42.0,53.0,27.0,32.0,35.0,2.0
Belgium Jupiler League,2014/2015,Club Brugge KV,30,69,28,17,10,3,61,2.3,0.9333333333333332,1.3666666666666667,2.033333333333333,0.5666666666666667,0.3333333333333333,0.1,42.0,45.0,42.0,57.0,47.0,51.0,50.0,57.0,0.0
Belgium Jupiler League,2014/2015,KAA Gent,30,52,29,16,9,5,57,1.7333333333333334,0.9666666666666668,0.7666666666666667,1.9,0.5333333333333333,0.3,0.1666666666666666,50.0,37.0,42.0,66.0,34.0,49.0,54.0,52.0,0.0
Belgium Jupiler League,2014/2015,KRC Genk,30,38,28,13,10,7,49,1.2666666666666666,0.9333333333333332,0.3333333333333333,1.6333333333333333,0.4333333333333333,0.3333333333333333,0.2333333333333333,58.0,38.0,30.0,69.0,56.0,36.0,57.0,70.0,0.0
Belgium Jupiler League,2014/2015,KSV Cercle Brugge,30,21,45,6,6,18,24,0.7,1.5,-0.8,0.8,0.2,0.2,0.6,53.0,43.0,52.0,58.0,42.0,59.0,47.0,62.0,0.0
Belgium Jupiler League,2014/2015,KV Kortrijk,30,54,35,16,3,11,51,1.8,1.1666666666666667,0.6333333333333333,1.7,0.5333333333333333,0.1,0.3666666666666666,42.0,47.0,37.0,67.0,30.0,46.0,45.0,52.0,0.0
Belgium Jupiler League,2014/2015,KV Mechelen,30,37,39,10,11,9,41,1.2333333333333334,1.3,-0.0666666666666666,1.3666666666666667,0.3333333333333333,0.3666666666666666,0.3,52.0,40.0,47.0,53.0,50.0,42.0,51.0,52.0,0.0
Belgium Jupiler League,2014/2015,KV Oostende,30,40,52,11,5,14,38,1.3333333333333333,1.7333333333333334,-0.4,1.2666666666666666,0.3666666666666666,0.1666666666666666,0.4666666666666667,52.0,54.0,45.0,42.0,53.0,42.0,47.0,44.0,2.0
Belgium Jupiler League,2014/2015,KVC Westerlo,30,42,63,8,9,13,33,1.4,2.1,-0.7,1.1,0.2666666666666666,0.3,0.4333333333333333,52.0,50.0,57.0,55.0,32.0,48.0,45.0,53.0,2.0
Belgium Jupiler League,2014/2015,Lierse SK,30,30,63,5,7,18,22,1.0,2.1,-1.1,0.7333333333333333,0.1666666666666666,0.2333333333333333,0.6,69.0,58.0,56.0,52.0,61.0,38.0,49.0,65.0,1.0
Belgium Jupiler League,2014/2015,RSC Anderlecht,30,51,30,16,9,5,57,1.7,1.0,0.7,1.9,0.5333333333333333,0.3,0.1666666666666666,52.0,51.0,60.0,53.0,47.0,53.0,50.0,61.0,1.0
